index,mean,std
80,8.0,0.0
90,9.0,0.0
100,10.0,0.0
110,11.0,0.0
140,14.0,0.0
170,9.0,0.0
180,9.666666666666666,0.4714045207910317
190,8.333333333333334,0.4714045207910317
200,10.0,0.0
210,10.0,0.0
250,11.0,0.0
260,8.0,0.0
270,9.0,0.0
280,9.0,0.0
290,11.0,0.816496580927726
300,10.0,0.0
350,11.0,2.160246899469287
370,9.0,0.816496580927726
380,10.0,0.0
390,10.0,0.0
410,11.0,0.0
440,9.0,0.0
450,10.0,0.0
460,9.0,0.0
470,10.0,0.0
480,10.0,0.0
490,9.0,1.0
500,11.0,0.0
530,9.0,0.0
540,9.0,0.816496580927726
560,9.0,0.0
570,9.5,0.5
580,9.0,0.0
590,10.0,0.0
610,11.0,0.0
680,14.0,0.0
700,16.0,0.0
710,18.0,0.0
720,15.333333333333334,2.0548046676563256
730,16.0,0.0
750,16.666666666666668,2.0548046676563256
780,10.0,0.0
810,11.0,0.0
820,10.333333333333334,0.4714045207910317
830,9.666666666666666,1.247219128924647
840,9.0,0.0
890,14.0,0.0
900,10.5,1.5
920,9.333333333333334,0.4714045207910317
930,10.0,1.0
940,11.0,0.0
950,13.0,0.0
990,10.0,0.0
1000,10.0,0.0
1010,9.0,0.0
1020,9.666666666666666,1.699673171197595
1030,11.0,0.0
1040,11.5,0.5
1070,12.0,0.0
1080,9.0,0.0
1100,9.0,0.0
1110,8.5,0.5
1120,10.666666666666666,0.9428090415820634
1140,10.0,0.0
1150,11.0,0.0
1180,10.0,0.0
1190,10.0,2.0
1210,9.75,0.82915619758885
1240,10.0,0.0
1260,14.0,0.0
1270,9.0,0.0
1280,9.0,0.0
1290,10.0,0.0
1300,11.0,2.8284271247461903
1310,10.0,0.0
1350,9.0,0.0
1360,10.5,1.5
1390,10.0,0.816496580927726
1400,9.0,0.0
1410,10.5,0.5
1450,9.333333333333334,0.4714045207910317
1480,9.0,0.0
1490,9.0,1.0
1500,9.5,0.5
1510,12.0,0.0
1540,9.0,0.0
1550,10.0,0.0
1570,27.0,0.0
1720,23.0,0.0
1730,24.0,1.0
1750,22.0,4.0
1780,25.0,2.0976176963403033
1860,8.0,0.0
1870,10.5,1.5
1880,10.0,0.0
1900,17.0,0.0
1930,21.0,0.0
1970,10.5,0.5
1980,25.0,0.0
1990,11.0,0.0
2020,10.5,1.5
2070,9.0,0.0
2080,11.0,0.0
2090,10.0,0.0
2100,8.0,0.0
2120,17.5,7.5
2130,25.0,0.0
2150,33.5,6.5
2180,10.333333333333334,0.4714045207910317
2190,9.0,0.0
2220,13.0,0.0
2270,11.5,2.5
2280,10.0,0.0
2290,14.0,3.0
2300,11.0,0.0
2320,10.0,0.0
2330,18.0,0.0
2350,8.0,0.0
2360,24.0,0.0
2370,9.5,0.5
2380,13.333333333333334,6.847546194724712
2390,10.0,0.0
2430,11.0,0.0
2440,11.0,0.0
2450,10.0,0.0
2460,9.0,0.0
2470,9.0,0.0
2480,9.5,0.5
2490,12.5,0.5
2510,13.0,0.0
2520,9.0,0.0
2540,9.5,0.5
2550,9.0,0.0
2560,8.0,0.0
2570,9.0,0.816496580927726
2600,10.0,1.0
2630,11.0,0.0
2640,10.0,0.0
2650,10.5,0.5
2660,9.5,0.5
2670,10.0,0.0
2700,10.0,0.0
2730,10.0,0.0
2740,9.0,0.816496580927726
2750,10.0,0.0
2770,10.0,0.0
2780,11.5,0.5
2790,9.0,0.0
2800,10.0,0.0
2830,9.5,0.5
2840,10.0,0.0
2850,10.5,0.5
2870,9.5,0.5
2880,10.0,0.0
2890,10.0,0.0
2910,9.5,1.5
2920,9.0,0.0
2940,9.5,0.5
2950,10.0,0.0
2960,9.0,0.0
2970,10.0,0.0
2980,10.0,0.0
2990,10.0,0.0
3000,9.0,0.0
3030,10.0,1.0
3050,9.666666666666666,1.247219128924647
3060,10.0,0.0
3070,8.0,0.0
3080,9.0,1.0
3110,11.0,0.0
3130,9.0,1.0
3150,9.666666666666666,0.4714045207910317
3160,13.0,0.0
3170,9.0,0.0
3180,11.0,0.0
3190,11.0,0.0
3200,9.0,0.0
3240,11.0,0.0
3250,10.0,0.0
3260,11.0,0.0
3270,10.333333333333334,1.247219128924647
3280,12.0,0.0
3290,10.0,0.0
3310,11.0,0.0
3410,13.5,2.692582403567252
3430,16.0,0.0
3470,19.0,0.0
3590,32.0,0.0
3610,20.0,0.0
3620,37.0,0.0
3630,39.0,0.0
3640,37.0,0.0
3650,24.0,0.0
3660,23.0,0.0
3720,25.0,0.0
3790,20.0,0.0
3830,42.0,0.0
3870,26.0,0.0
3900,49.0,0.0
3980,34.0,0.0
4050,42.0,0.0
4060,44.0,0.0
4210,56.0,0.0
4270,48.0,0.0
4290,39.0,0.0
4390,67.0,0.0
4480,65.0,0.0
4520,39.0,8.0
4530,56.5,9.5
4560,29.0,0.0
4580,60.0,0.0
4630,97.0,0.0
4720,43.0,0.0
4890,50.0,0.0
5000,47.5,0.5
5030,50.0,0.0
5050,53.0,0.0
5160,68.0,0.0
5230,51.0,0.0
5240,35.0,0.0
5290,29.0,0.0
5470,89.0,0.0
5760,93.0,20.0
5890,89.0,0.0
5920,63.0,0.0
5950,71.0,0.0
6560,200.0,0.0
